RACE		AVAILABLE
Dwarf 		true
Elf 		true
Halfling 	true
Human 		true
Dragonborn 	true
Gnome 		true
Half-Elf 	true
Half-Orc 	true
Tiefling 	true
Aarakocra	false
Genasi		false
Goliath		true
Aasimar		true
Bugbear		false
Firbolg		true
Goblin		false
Hobgoblin	false
Kenku		true
Kobold		false
Lizardfolk	false
Orc			false
Tabaxi		true
Triton		true
Yuan-ti		false
Tortle		true
Changeling	false
Kalashtar	false
Shifter		false
Warforged	false
Gith		false
Centaur		false
Loxodon		false
Minotaur	false
Simic		false
Vedalken	false
